Year,Birth,death_year,death_year_new,death_year_add,death_rate,deaths
1964,4027490.0,55,63,8,0.009615889282226562,38727.89792527466
1963,4098020.0,56,64,8,0.010091869506835938,41356.68307640381
1962,4167362.0,57,65,8,0.010585130615234375,44112.07109096436
1961,4268326.0,58,66,8,0.01117866455078125,47714.18454737793
1960,4257850.0,59,67,8,0.011819495849609375,50325.640403259276
1959,4295000.0,60,68,8,0.012536484375,53844.200390625
1958,4255000.0,61,70,9,0.014137998046875,60157.18168945312
1957,4308000.0,62,71,9,0.0150596044921875,64876.77615234375
1956,4218000.0,63,71,8,0.0150596044921875,63521.41174804688
1955,4104000.0,64,73,9,0.0172741943359375,70893.2935546875
1954,4078000.0,65,74,9,0.018339661865234374,74789.14108642578
1953,3965000.0,66,75,9,0.019760272216796874,78349.47933959961
1952,3913000.0,67,77,10,0.02268210205078125,88755.06532470703
1951,3772500.0,68,78,10,0.0241773876953125,91209.19508056641
1950,3632000.0,69,79,10,0.0257500830078125,93524.301484375
1949,3477200.0,70,80,10,0.02726047119140625,94790.11042675782
1948,3322400.0,71,82,11,0.03055080078125,101501.98051562501
1947,3167600.0,72,83,11,0.03217575439453125,101919.91962011719
1946,3012800.0,73,84,11,0.033410732421875,100659.854640625
1945,2858000.0,74,86,12,0.035726005859375,102104.92474609375
1944,2798200.0,75,88,13,0.036587802734375,102379.98961132813
1943,2738400.0,76,91,15,0.03358750244140625,91976.01668554687
1942,2678600.0,77,89,12,0.03619736328125,96958.25728515624
1941,2618800.0,78,91,13,0.03358750244140625,87958.95139355469
1940,2559000.0,79,94,15,0.02557544921875,65447.57455078125
1939,2522600.0,80,94,14,0.02557544921875,64516.62819921875
1938,2486200.0,81,96,15,0.01874647705078125,46607.491243652345
1937,2449800.0,82,100,18,0.006,14698.800000000001
1936,2413400.0,83,103,20,0.0001,241.34
1935,2377000.0,84,100,16,0.006,14262.0
1934,2425200.0,85,102,17,0.001,2425.2000000000003
1933,2473400.0,86,101,15,0.003,7420.2
1932,2521600.0,87,103,16,0.0001,252.16000000000003
